g2 dynamics at tau=0, Fock-1 initial state, w=w_dip
t [ps]       g2 [unitless]
2.165619     0.000000    
2.170400     0.000000    
2.175180     0.000000    
2.179961     0.000000    
2.184741     0.000000    
2.189522     0.000000    
2.194303     0.000000    
2.199083     0.000000    
2.203864     0.000000    
2.208645     0.000000    
2.213425     0.000000    
2.218206     0.000000    
2.222986     0.000000    
2.227767     0.000000    
2.232548     0.000000    
2.237328     0.000000    
2.242109     0.000000    
2.246889     0.000000    
2.251670     0.000000    
2.256451     0.000000    
2.261231     0.000000    
2.266012     0.000000    
2.270793     0.000000    
2.275573     0.000000    
2.280354     0.000000    
2.285134     0.000000    
2.289915     0.000000    
2.294696     0.000000    
2.299476     0.000000    
2.304257     0.000000    
2.309037     0.000000    
2.313818     0.000000    
2.318599     0.000000    
2.323379     0.000000    
2.328160     0.000000    
2.332941     0.000000    
2.337721     0.000000    
2.342502     0.000000    
2.347282     0.000000    
2.352063     0.000000    
2.356844     0.000000    
2.361624     0.000000    
2.366405     0.000000    
2.371185     0.000000    
2.375966     0.000000    
2.380747     0.000000    
2.385527     0.000000    
2.390308     0.000000    
2.395089     0.000000    
2.399869     0.000000    
2.404650     0.000000    
2.409430     0.000000    
2.414211     0.000000    
2.418992     0.000000    
2.423772     0.000000    
2.428553     0.000000    
2.433333     0.000000    
2.438114     0.000000    
2.442895     0.000000    
2.447675     0.000000    
2.452456     0.000000    
2.457237     0.000000    
2.462017     0.000000    
2.466798     0.000000    
2.471578     0.000000    
2.476359     0.000000    
2.481140     0.000000    
2.485920     0.000000    
2.490701     0.000000    
2.495481     0.000000    
2.500262     0.000000    
2.505043     0.000000    
2.509823     0.000000    
2.514604     0.000000    
2.519385     0.000000    
2.524165     0.000000    
2.528946     0.000000    
2.533726     0.000000    
2.538507     0.000000    
2.543288     0.000000    
2.548068     0.000000    
2.552849     0.000000    
2.557629     0.000000    
2.562410     0.000000    
2.567191     0.000000    
2.571971     0.000000    
2.576752     0.000000    
2.581533     0.000000    
2.586313     0.000000    
2.591094     0.000000    
2.595874     0.000000    
2.600655     0.000000    
2.605436     0.000000    
2.610216     0.000000    
2.614997     0.000000    
2.619777     0.000000    
2.624558     0.000000    
2.629339     0.000000    
2.634119     0.000000    
2.638900     0.000000    
2.643681     0.000000    
2.648461     0.000000    
2.653242     0.000000    
2.658022     0.000000    
2.662803     0.000000    
2.667584     0.000000    
2.672364     0.000000    
2.677145     0.000000    
2.681925     0.000000    
2.686706     0.000000    
