g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
2.419975     1.000925    
2.424507     1.000922    
2.429039     1.000924    
2.433571     1.000917    
2.438103     1.000929    
2.442634     1.000908    
2.447166     1.000909    
2.451698     1.000910    
2.456230     1.000904    
2.460762     1.000910    
2.465293     1.000910    
2.469825     1.000900    
2.474357     1.000905    
2.478889     1.000906    
2.483420     1.000894    
2.487952     1.000898    
2.492484     1.000887    
2.497016     1.000893    
2.501548     1.000893    
2.506079     1.000890    
2.510611     1.000884    
2.515143     1.000879    
2.519675     1.000885    
2.524207     1.000885    
2.528738     1.000869    
2.533270     1.000882    
2.537802     1.000864    
2.542334     1.000868    
2.546866     1.000868    
2.551397     1.000869    
2.555929     1.000868    
2.560461     1.000855    
2.564993     1.000859    
2.569524     1.000867    
2.574056     1.000857    
2.578588     1.000859    
2.583120     1.000856    
2.587652     1.000851    
2.592183     1.000857    
2.596715     1.000853    
2.601247     1.000852    
2.605779     1.000850    
2.610311     1.000850    
2.614842     1.000849    
2.619374     1.000844    
2.623906     1.000844    
2.628438     1.000842    
2.632969     1.000843    
2.637501     1.000834    
2.642033     1.000839    
2.646565     1.002017    
2.651097     1.000837    
2.655628     1.000823    
2.660160     1.000819    
2.664692     1.000830    
2.669224     1.000830    
2.673756     1.000831    
2.678287     1.000825    
2.682819     1.000814    
2.687351     1.000824    
2.691883     1.000819    
2.696415     1.000811    
2.700946     1.000814    
2.705478     1.000818    
2.710010     1.000811    
2.714542     1.000807    
2.719073     1.000808    
2.723605     1.000798    
2.728137     1.000810    
2.732669     1.000806    
2.737201     1.000801    
2.741732     1.000803    
2.746264     1.000807    
2.750796     1.000800    
2.755328     1.000799    
2.759860     1.000797    
2.764391     1.000796    
2.768923     1.000791    
2.773455     1.000795    
2.777987     1.000791    
2.782519     1.000789    
2.787050     1.000777    
2.791582     1.000793    
2.796114     1.000781    
2.800646     1.000783    
2.805177     1.000780    
2.809709     1.000778    
2.814241     1.000778    
2.818773     1.000767    
2.823305     1.000775    
2.827836     1.000774    
2.832368     1.000763    
2.836900     1.000773    
2.841432     1.000768    
2.845964     1.000773    
2.850495     1.000770    
2.855027     1.000766    
2.859559     1.000771    
2.864091     1.000765    
2.868623     1.000766    
2.873154     0.999895    
2.877686     1.000753    
2.882218     1.000750    
2.886750     1.000754    
2.891281     1.000759    
2.895813     1.000751    
2.900345     1.000756    
2.904877     1.000746    
2.909409     1.000756    
2.913940     1.001566    
2.918472     1.000743    
2.923004     1.000746    
2.927536     1.000745    
2.932068     1.000747    
2.936599     1.000752    
2.941131     1.000738    
2.945663     1.000737    
2.950195     1.000742    
2.954727     1.000733    
2.959258     1.000744    
2.963790     1.000731    
2.968322     1.000733    
2.972854     1.000735    
2.977385     1.000727    
2.981917     1.000722    
2.986449     1.000735    
2.990981     1.000727    
2.995513     1.000724    
3.000044     1.000716    
3.004576     1.000722    
